Datum,ISBN,Naslov,Kategorija,Kanal,Kolicina,Jed_cijena_KM,Ukupno_KM
2026-01-05,978-99955-001-22-3,Krivično pravo,Pravna,Univerzitet BL,45,89,4005
2026-01-08,978-99955-002-15-1,AI za menadžere,Biznis,Web shop,12,49,588
2026-01-12,978-99955-003-44-7,Avanture malog Marka,Dječja,Buybook Sarajevo,23,19,437
2026-01-15,978-99955-001-22-3,Krivično pravo,Pravna,Buybook Banja Luka,18,89,1602
2026-01-18,978-99955-004-89-2,Crni cvijet,Beletristika,Web shop,8,18,144
2026-01-22,978-99955-002-15-1,AI za menadžere,Biznis,Univerzitet NS,30,49,1470
2026-01-25,978-99955-005-12-9,Drina,Beletristika,Šahinpašić,15,28,420
2026-01-28,978-99955-001-25-4,Građansko pravo,Pravna,Univerzitet BL,28,125,3500
2026-02-02,978-99955-003-44-7,Avanture malog Marka,Dječja,Knjizara.com,18,19,342
2026-02-05,978-99955-002-15-1,AI za menadžere,Biznis,Lanaco trening,40,49,1960
2026-02-08,978-99955-006-77-3,Sjećanja profesorice,Beletristika,Buybook Sarajevo,11,22,242
2026-02-12,978-99955-001-22-3,Krivično pravo,Pravna,Univerzitet Sarajevo,52,89,4628
2026-02-15,978-99955-004-89-2,Crni cvijet,Beletristika,Buybook Mostar,14,18,252
2026-02-18,978-99955-007-33-1,Bajke iz Krajine,Dječja,Web shop,7,22,154
2026-02-22,978-99955-002-15-1,AI za menadžere,Biznis,Web shop,18,49,882
2026-02-25,978-99955-008-22-5,Lean Startup BE,Biznis,Buybook BL,9,35,315
2026-02-28,978-99955-001-25-4,Građansko pravo,Pravna,Univerzitet Beograd,38,125,4750
2026-03-02,978-99955-009-15-7,Mikroekonomija,Akademska,Univerzitet BL,55,145,7975
2026-03-05,978-99955-003-44-7,Avanture malog Marka,Dječja,Buybook Sarajevo,28,19,532
2026-03-08,978-99955-002-15-1,AI za menadžere,Biznis,Web shop,15,49,735
2026-03-12,978-99955-005-12-9,Drina,Beletristika,Univerzitet Sarajevo,22,28,616
2026-03-15,978-99955-010-44-2,Brojevi (kompletan set),Dječja,Web shop,8,95,760
2026-03-18,978-99955-001-22-3,Krivično pravo,Pravna,Knjizara.com,12,89,1068
2026-03-22,978-99955-004-89-2,Crni cvijet,Beletristika,Buybook BL,17,18,306
2026-03-25,978-99955-002-15-1,AI za menadžere,Biznis,Univerzitet Sarajevo,35,49,1715
2026-03-28,978-99955-006-77-3,Sjećanja profesorice,Beletristika,Web shop,9,22,198
